seed,fold,target,has_url,model_predicted,method,message_id,role,similarity_group_id,label,model_probability
42,0,1,1,1,fage_a,msg-005d985b3191a08942c7,development_readout,sim-d5f3da9043ff4b717205,smishing,0.9953231128
42,0,0,0,0,fage_a,msg-0067a75958cbc13a5681,development_readout,sim-ff92c7030375650973ab,normal,9.621608E-10
42,0,0,0,0,fage_a,msg-007a0907b1f8b8eb0c6f,development_readout,sim-5efdca8bbebd3724e554,normal,1.6299096E-9
42,0,0,1,0,fage_a,msg-007c14d4a734618d509f,development_readout,sim-2b8a7d0b5a9a0d2dbafe,normal,0.0057917882
42,0,0,0,0,fage_a,msg-007ffb39e1a287c3bddd,development_readout,sim-f425d62e1fab4928692d,normal,3.2199966E-9
42,0,0,0,0,fage_a,msg-00f35b93cb9f059672ec,development_readout,sim-635cd84aadb9869dd6f1,normal,2.4107025E-9
42,0,0,0,0,fage_a,msg-00f8f98f86ec4172a509,development_readout,sim-e9635a548f3de9f6f118,normal,2.1407208E-9
42,0,0,0,0,fage_a,msg-0123176009745f250804,development_readout,sim-136a1fb3d2fe9c2513fa,normal,1.3858807E-9
42,0,0,0,0,fage_a,msg-015a38a9608667cc2964,development_readout,sim-162432eefba7a4df53f5,normal,1.2392175E-8
42,0,0,0,0,fage_a,msg-01c38da3fe8f62c5e05d,development_readout,sim-ed1dcc7b99fa476814c0,normal,3.2635439E-9
42,0,1,1,1,fage_a,msg-01d13b3d2f45a633096d,development_readout,sim-9299a3383f375c900e4f,smishing,0.9998728372
42,0,0,0,0,fage_a,msg-021ff4b508c708aca6b9,development_readout,sim-c2b783441f579b2544d3,normal,3.1115689E-9
42,0,0,1,0,fage_a,msg-024106bf5f2ba62d317f,development_readout,sim-97a0df8929526b28d3a2,normal,0.0000103482
42,0,0,0,0,fage_a,msg-02581f9b35fa7583671d,development_readout,sim-fbe0327877a7741b408e,normal,1.9475183E-9
42,0,0,0,0,fage_a,msg-025e157146fbc1c7553c,development_readout,sim-41ce1b4cf5bca30db744,normal,8.627919E-10
42,0,0,1,0,fage_a,msg-025e6f957a5f084acce8,development_readout,sim-dd05c5d7cb4e191bb95c,normal,1.7734805E-7
42,0,0,0,0,fage_a,msg-029677d34b00a3e6bb3f,development_readout,sim-9b884ed5220438ffa933,normal,1.157229E-9
42,0,0,0,0,fage_a,msg-029a01fe76655844fd60,development_readout,sim-b015ba9bb1d058c4bd9c,normal,3.1084737E-9
42,0,0,1,0,fage_a,msg-02a95badd4b65dfcf7b5,development_readout,sim-f5afa4b74a848b6a6157,normal,1.6098503E-6
42,0,0,1,0,fage_a,msg-02b49820f78dab227b74,development_readout,sim-54dd98d07b1e13f8863e,normal,3.3695377E-6
42,0,0,0,0,fage_a,msg-02b9dbfdf4be07e0ec6c,development_readout,sim-9615e6c8ce2e282edb10,normal,2.8700237E-9
42,0,1,0,1,fage_a,msg-02ba53db573bb7d15551,development_readout,sim-967cffbefc3f262e89b8,smishing,0.999528155
42,0,1,1,1,fage_a,msg-02d30698e79fcbb78d51,development_readout,sim-46b284721df12b6297ec,smishing,0.9999999993
42,0,0,0,0,fage_a,msg-02fd5e862475a10adcf6,development_readout,sim-1b7386d0ee0198950f74,normal,1.0536847E-8
42,0,1,1,1,fage_a,msg-02fe1078f242e4035aef,development_readout,sim-1aaa8319d444dbe9d428,smishing,0.9999998931
42,0,0,0,0,fage_a,msg-03002e809c0cf4cdb281,development_readout,sim-a5654db07378a5d362fb,normal,4.9898623E-9
42,0,0,0,0,fage_a,msg-034e0b32f1e12bf74e87,development_readout,sim-9b6bda975276ee3dc4f7,normal,7.217791E-10
42,0,1,1,1,fage_a,msg-03745720dae50555c29d,development_readout,sim-b3e9083dae5df82d717e,smishing,0.9999999969
42,0,0,1,0,fage_a,msg-03777fb4b12304f7388c,development_readout,sim-3e12b2d521e394e21d86,normal,8.6412558E-6
42,0,0,0,0,fage_a,msg-03c70840d32bd9ddea15,development_readout,sim-a9394d76b16a3cfcaaec,normal,1.8445139E-9
